Ref,Val,Package,PosX,PosY,Rot,Side
"C100","100n","C_0402_1005Metric",8.500000,-28.300000,90.000000,top
"C101","4u7","C_0603_1608Metric",20.750000,-15.050000,90.000000,top
"C102","100n","C_0402_1005Metric",22.350000,-15.150000,90.000000,top
"C103","100n","C_0402_1005Metric",26.000000,-12.500000,0.000000,top
"C104","100n","C_0402_1005Metric",36.500000,-15.100000,0.000000,top
"C105","100n","C_0402_1005Metric",35.550000,-26.200000,0.000000,top
"C106","100n","C_0402_1005Metric",26.400000,-27.500000,180.000000,top
"C107","10n","C_0402_1005Metric",20.700000,-23.150000,90.000000,top
"C108","1u","C_0603_1608Metric",19.200000,-23.175000,90.000000,top
"C109","1u","C_0603_1608Metric",17.400000,-23.175000,90.000000,top
"C110","15p","C_0402_1005Metric",16.500000,-18.050000,180.000000,top
"C111","15p","C_0402_1005Metric",13.300000,-18.050000,0.000000,top
"C112","15p","C_0402_1005Metric",16.700000,-12.100000,180.000000,top
"C113","15p","C_0402_1005Metric",13.400000,-12.100000,0.000000,top
"C114","2u2","C_0805_2012Metric",34.800000,-28.050000,0.000000,top
"C115","2u2","C_0805_2012Metric",39.300000,-15.300000,90.000000,top
"C200","100n","C_0402_1005Metric",45.434749,-17.150000,180.000000,top
"C300","1u","C_0603_1608Metric",45.800000,-22.700000,180.000000,top
"C301","1u","C_0603_1608Metric",45.800000,-24.700000,180.000000,top
"C302","22u","C_0805_2012Metric",49.700000,-29.050000,180.000000,top
"C303","22u","C_0805_2012Metric",49.500000,-36.350000,180.000000,top
"C304","DNP","C_0402_1005Metric",45.800000,-32.800000,90.000000,top
"D100","PESD3V3L1BA,115","D_SOD-323",53.460000,-5.660000,-90.000000,top
"D101","PESD3V3L1BA,115","D_SOD-323",50.610000,-5.060000,0.000000,top
"D102","PESD3V3L1BA,115","D_SOD-323",46.860000,-5.060000,180.000000,top
"D103","LED","LED_0603_1608Metric",56.400000,-13.200000,180.000000,top
"D300","LED","LED_0603_1608Metric",56.500000,-26.800000,0.000000,top
"J100","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",45.520000,-1.900000,90.000000,top
"J101","Conn_02x15_Odd_Even","PinHeader_2x15_P2.54mm_Vertical",6.280000,-38.040000,90.000000,top
"J102","Conn_02x10_Odd_Even","PinHeader_2x10_P2.54mm_Vertical",18.940000,-4.440000,90.000000,top
"J103","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",58.000000,-1.900000,0.000000,top
"J200","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",55.700000,-20.000000,90.000000,top
"L100","10nH","L_0402_1005Metric",18.300000,-25.350000,180.000000,top
"L300","10nH","L_0402_1005Metric",48.000000,-23.700000,-90.000000,top
"L301","15u","MWSA0603S",55.450000,-32.875000,-90.000000,top
"R100","10k","R_0402_1005Metric",8.500000,-9.500000,-90.000000,top
"R101","10k","R_0402_1005Metric",31.340000,-31.950000,180.000000,top
"R102","10k","R_0402_1005Metric",8.500000,-30.500000,90.000000,top
"R103","47R","R_0402_1005Metric",13.300000,-19.200000,180.000000,top
"R104","47R","R_0402_1005Metric",13.400000,-13.200000,180.000000,top
"R105","47R","R_0402_1005Metric",49.810000,-6.860000,0.000000,top
"R106","47R","R_0402_1005Metric",47.560000,-6.860000,180.000000,top
"R107","10k","R_0402_1005Metric",10.400000,-17.110000,-90.000000,top
"R108","5k1","R_0402_1005Metric",53.500000,-12.600000,0.000000,top
"R200","5k1","R_0402_1005Metric",53.630000,-26.300000,0.000000,top
"R201","5k1","R_0402_1005Metric",53.500000,-13.750000,0.000000,top
"R300","100k","R_0402_1005Metric",47.100000,-32.775000,-90.000000,top
"R301","22k","R_0402_1005Metric",47.100000,-30.250000,-90.000000,top
"R302","1k","R_0402_1005Metric",53.600000,-27.500000,0.000000,top
"SW100","~","SW_PUSH_6mm",6.150000,-8.050000,-90.000000,top
"SW101","~","SW_PUSH_6mm",1.700000,-31.900000,90.000000,top
"SW102","~","SW_PUSH_6mm",1.650000,-17.700000,0.000000,top
"U100","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",30.000000,-20.000000,0.000000,top
"U200","USBLC6-2SC6","SOT-23-6",46.584749,-19.500000,180.000000,top
"U201","ACM2012-900-2P-T001","SMT_0-2P-T001_TDK",42.134749,-19.500000,180.000000,top
"U300","TLV62569DBV","SOT-23-5",49.600000,-32.612500,90.000000,top
"Y100","25Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",14.500000,-15.650000,180.000000,top
"Y101","32768Hz","Crystal_SMD_3225-4Pin_3.2x2.5mm",14.600000,-9.750000,180.000000,top
